,period,strongBuy,buy,hold,sell,strongSell,Ticker
0,0m,7,21,14,2,2,AAPL
1,-1m,8,21,13,2,2,AAPL
2,-2m,8,24,12,1,2,AAPL
3,-3m,8,24,12,1,2,AAPL
0,0m,17,48,4,0,0,AMZN
1,-1m,18,46,3,0,1,AMZN
2,-2m,18,46,3,0,1,AMZN
3,-3m,17,47,4,0,0,AMZN
0,0m,0,1,3,0,0,BRK-A
1,-1m,0,1,3,0,0,BRK-A
0,0m,14,39,12,0,0,GOOGL
1,-1m,15,36,12,0,0,GOOGL
2,-2m,16,36,11,0,0,GOOGL
3,-3m,16,37,11,0,0,GOOGL
0,0m,12,44,7,0,2,META
1,-1m,12,43,7,0,2,META
2,-2m,12,46,8,0,2,META
3,-3m,12,47,8,0,2,META
0,0m,13,39,5,0,0,MSFT
1,-1m,13,40,5,0,0,MSFT
2,-2m,14,38,5,0,0,MSFT
3,-3m,14,38,5,0,0,MSFT
0,0m,7,14,15,9,3,TSLA
1,-1m,7,13,15,8,4,TSLA
2,-2m,6,14,15,8,5,TSLA
3,-3m,5,13,17,8,5,TSLA
0,0m,13,25,3,1,0,WMT
1,-1m,13,25,3,1,0,WMT
2,-2m,13,25,3,1,0,WMT
3,-3m,13,25,3,1,0,WMT
0,0m,7,30,4,0,1,AVGO
1,-1m,8,30,4,0,1,AVGO
2,-2m,8,30,5,0,0,AVGO
3,-3m,8,29,5,0,0,AVGO
0,0m,7,24,13,0,2,NFLX
1,-1m,7,24,13,0,2,NFLX
2,-2m,9,19,15,3,1,NFLX
3,-3m,9,21,15,2,1,NFLX
